t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0.043,5.91164e-06,2.86191e-09,-0.00048258,6.75824e-06,0.00178917,0.000256164,0.000521758,-3.34615e-07,-0.0208238,0.00184631,0.126585,0.0193379,0.647006,0.614561,0.637502,0.623799,0,0
0.044,6.45e-06,2.46548e-09,-0.000503578,7.71712e-06,0.00185244,0.000265861,0.000555145,-4.61115e-07,-0.0211735,0.00198463,0.126502,0.019456,0.647832,0.614597,0.638084,0.624071,0,0
0.045,7.02232e-06,1.9337e-09,-0.000524923,8.74588e-06,0.00191564,0.000275614,0.000589689,-6.05536e-07,-0.0215161,0.00212536,0.126295,0.0195614,0.64865,0.614647,0.638663,0.62435,0,0
0.046,7.62977e-06,1.24799e-09,-0.000546607,9.84566e-06,0.00197871,0.000285416,0.00062539,-7.69176e-07,-0.0218515,0.00226816,0.125969,0.0196543,0.649458,0.614709,0.639238,0.624634,0,0
0.047,8.27349e-06,3.8848e-10,-0.000568623,1.10174e-05,0.00204158,0.000295262,0.000662244,-9.53353e-07,-0.0221797,0.00241272,0.125526,0.0197352,0.650256,0.614784,0.63981,0.624925,0,0
0.048,8.95464e-06,-6.66031e-10,-0.000590963,1.2262e-05,0.0021042,0.000305145,0.000700246,-1.1594e-06,-0.0225008,0.00255867,0.12497,0.0198045,0.651044,0.614871,0.640378,0.625221,0,0
0.049,9.67437e-06,-1.93809e-09,-0.000613621,1.35799e-05,0.00216652,0.00031506,0.000739392,-1.38868e-06,-0.0228146,0.00270567,0.124306,0.0198626,0.651822,0.614972,0.640941,0.625522,0,0
0.05,1.04338e-05,-3.45161e-09,-0.000636589,1.49717e-05,0.00222849,0.000325001,0.000779674,-1.64254e-06,-0.0231213,0.00285337,0.123535,0.0199099,0.652588,0.615084,0.6415,0.625829,0,0
0.051,1.12341e-05,-5.23185e-09,-0.00065986,1.64376e-05,0.00229004,0.000334963,0.000821085,-1.92235e-06,-0.0234208,0.00300146,0.122664,0.0199469,0.653342,0.615209,0.642054,0.626141,0,0
0.052,1.20764e-05,-7.30545e-09,-0.000683427,1.79777e-05,0.00235113,0.000344941,0.000863617,-2.2295e-06,-0.0237132,0.00314956,0.121695,0.0199739,0.654085,0.615347,0.642603,0.626457,0,0
