horizon,admm_iters,board,slice_luts_used,slice_luts_avail,slice_luts_util_pct,lut_as_mem_used,lut_as_mem_avail,lut_as_mem_util_pct,bram_tile_used,bram_tile_avail,bram_tile_util_pct,dsps_used,dsps_avail,dsps_util_pct,hls_target_clk_ns,hls_est_clk_ns,hls_uncertainty_ns,hls_est_fmax_mhz,synth_wns_ns,synth_tns_ns,synth_clk_period_ns,synth_clk_freq_mhz,synth_fmax_est_mhz,route_wns_ns,route_tns_ns,route_clk_period_ns,route_clk_freq_mhz,route_fmax_est_mhz,route_power_total_w,route_power_dynamic_w,route_power_static_w,hls_latency_cycles,est_solve_us_cfg_clk,est_solve_us_route_fmax,throughput_cfg_sps,throughput_route_fmax_sps,throughput_per_lut_cfg,throughput_per_dsp_cfg,throughput_per_bram_cfg,throughput_per_lutram_cfg,energy_per_solve_cfg_uj,energy_per_solve_route_fmax_uj,energy_per_iter_cfg_nj
60,2,custom,6565,63400,10.35,268,19000,1.41,84.5,135,62.59,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.088,0.0,10.0,100.0,100.88781275221952,0.114,0.0,10.0,100.0,101.15314586283634,0.35,0.248,0.102,39118,391.18,386.72054799999995,2556.3679124699624,2585.846563291486,0.38939343678141086,34.545512330675166,30.25287470378654,9.538686240559562,136.91299999999998,135.35219179999999,68456.49999999999
60,5,custom,6540,63400,10.32,268,19000,1.41,84.5,135,62.59,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.088,0.0,10.0,100.0,100.88781275221952,0.028,0.0,10.0,100.0,100.28078620136382,0.345,0.243,0.102,97759,977.59,974.8527479999999,1022.9237205781565,1025.7959492360173,0.1564103548284643,13.82329352132644,12.105606160688243,3.816879554396106,337.26855,336.32419805999996,67453.70999999999
60,10,custom,6569,63400,10.36,268,19000,1.41,84.5,135,62.59,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.088,0.0,10.0,100.0,100.88781275221952,-0.127,-6.335,10.0,100.0,98.74592673052236,0.345,0.243,0.102,195494,1954.94,1979.7677380000002,511.5246503729015,505.10975646578595,0.07786948551878543,6.912495275309479,6.053546158259189,1.9086740685556025,674.4543,683.01986961,67445.43000000001
60,15,custom,6567,63400,10.36,268,19000,1.41,84.5,135,62.59,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.088,0.0,10.0,100.0,100.88781275221952,0.038,0.0,10.0,100.0,100.3814495081309,0.343,0.241,0.102,293229,2932.29,2921.147298,341.0303892179832,342.33124796023213,0.051930925722245044,4.608518773215989,4.03586259429566,1.2725014523059075,1005.77547,1001.953523214,67051.698
60,20,custom,6553,63400,10.34,268,19000,1.41,83.5,135,61.85,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.35,0.0,10.0,100.0,103.62694300518135,0.274,0.172,0.102,390964,3909.64,3772.8026,255.7780255982648,265.054948806492,0.03903220289917058,3.456459805381957,3.0632098874043687,0.9543956179039732,1071.24136,1033.7479124000001,53562.06799999999
60,25,custom,6607,63400,10.42,268,19000,1.41,83.5,135,61.85,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,-0.1,-4.815,10.0,100.0,99.00990099009901,0.271,0.169,0.102,488699,4886.99,4935.8598999999995,204.62493272955336,202.59894329658752,0.03097092973052117,2.765201793642613,2.4505979967611182,0.7635258683938558,1324.37429,1337.6180329,52974.971600000004
60,30,custom,6542,63400,10.32,268,19000,1.41,83.5,135,61.85,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.107,0.0,10.0,100.0,101.08157282927321,0.272,0.17,0.102,586434,5864.34,5801.5915620000005,170.52217299815496,172.36649448918925,0.026065755579051508,2.304353689164256,2.042181712552754,0.6362767649184886,1595.10048,1578.0329048640003,53170.015999999996
70,1,custom,5107,63400,8.06,256,19000,1.35,128,135,94.81,70,240,29.17,10.0,7.288,2.7,137.211855104281,0.394,0.0,10.0,100.0,104.10160316468874,-0.053,-2.56,10.0,100.0,99.47279419078882,0.356,0.252,0.105,22753,227.53,228.735909,4395.0248318903,4371.854005660301,0.8605883751498532,62.786069027004295,34.33613149914297,17.168065749571486,81.00068,81.429983604,81000.68000000001
70,2,custom,9746,63400,15.37,259,19000,1.36,96.5,135,71.48,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.004,-0.202,10.0,100.0,99.96001599360257,0.121,0.0,10.0,100.0,101.22482032594392,0.356,0.254,0.103,45518,455.18,449.672322,2196.93308141834,2223.841564346938,0.22541894945806895,29.68828488403162,22.766145921433576,8.48236710972332,162.04408,160.083346632,81022.04000000001
70,5,custom,9769,63400,15.41,259,19000,1.36,96.5,135,71.48,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.004,-0.202,10.0,100.0,99.96001599360257,0.135,0.0,10.0,100.0,101.36847440446022,0.33,0.227,0.102,113759,1137.59,1122.2325349999999,879.0513278070307,891.0809202301376,0.08998375758082001,11.879071997392307,9.109340184528815,3.3940205706835163,375.4047,370.33673654999996,75080.94
70,10,custom,9750,63400,15.38,259,19000,1.36,96.5,135,71.48,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.004,-0.202,10.0,100.0,99.96001599360257,0.199,0.0,10.0,100.0,102.03040506070809,0.315,0.213,0.102,227494,2274.94,2229.668694,439.5720326689935,448.49712546576217,0.04508431104297369,5.940162603635047,4.55515059760615,1.6971893153242992,716.6061,702.34563861,71660.61
70,15,custom,9769,63400,15.41,259,19000,1.36,96.5,135,71.48,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.004,-0.202,10.0,100.0,99.96001599360257,0.009,0.0,10.0,100.0,100.09008107296567,0.358,0.256,0.103,341229,3412.29,3409.218939,293.0583273989022,293.3223174846384,0.029998805138591687,3.960247667552732,3.036873859055981,1.131499333586495,1221.59982,1220.5003801619998,81439.98799999998
70,20,custom,9760,63400,15.39,259,19000,1.36,96.5,135,71.48,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.053,-2.554,10.0,100.0,99.47279419078882,0.057,0.0,10.0,100.0,100.57326762546515,0.323,0.221,0.102,454964,4549.64,4523.707052,219.79761036038013,221.05763890212228,0.022520246963153703,2.9702379778429746,2.277695444149017,0.84863942224085,1469.5337200000001,1461.157377796,73476.68600000002
70,25,custom,9756,63400,15.39,259,19000,1.36,96.5,135,71.48,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.053,-2.554,10.0,100.0,99.47279419078882,0.115,0.0,10.0,100.0,101.16337885685383,0.376,0.274,0.103,568699,5686.99,5621.589615,175.8399434498742,177.88562817387373,0.01802377444135652,2.376215452025327,1.8221755797914425,0.6789187005786649,2138.30824,2113.71769524,85532.3296
